15 99 16 98 15-99,16-98
35 49 34 50 35-49,34-50
57 86 57 58 57-86,57-58
21 88 20 89 21-88,20-89
8 82 7 83 8-82,7-83
5 79 4 79 5-79,4-79
69 69 69 82 69-69,69-82
67 67 67 86 67-67,67-86
18 88 17 94 18-88,17-94
1 57 18 56 1-57,18-56
32 34 32 35 32-34,32-35
23 56 24 55 23-56,24-55
10 98 11 48 10-98,11-48
12 57 13 29 12-57,13-29
6 83 6 82 6-83,6-82
43 96 43 66 43-96,43-66
59 72 59 63 59-72,59-63
51 51 24 51 51-51,24-51
91 99 91 98 91-99,91-98
27 27 26 54 27-27,26-54
36 42 36 42 36-42,36-42
7 89 8 89 7-89,8-89
52 89 52 93 52-89,52-93
73 74 18 74 73-74,18-74
34 65 34 66 34-65,34-66
17 99 18 74 17-99,18-74
77 77 27 78 77-77,27-78
14 82 15 76 14-82,15-76
3 3 3 32 3-3,3-32
43 85 43 86 43-85,43-86
91 91 23 92 91-91,23-92
94 94 6 95 94-94,6-95
64 66 65 65 64-66,65-65
19 76 20 55 19-76,20-55
3 83 3 12 3-83,3-12
70 71 21 71 70-71,21-71
56 56 56 67 56-56,56-67
4 98 5 97 4-98,5-97
42 42 42 56 42-42,42-56
22 49 22 95 22-49,22-95
48 92 47 96 48-92,47-96
20 94 20 94 20-94,20-94
35 60 35 58 35-60,35-58
35 90 35 94 35-90,35-94
1 93 1 94 1-93,1-94
26 26 26 45 26-26,26-45
24 87 25 87 24-87,25-87
35 93 36 92 35-93,36-92
9 28 9 90 9-28,9-90
25 74 26 73 25-74,26-73
12 79 11 98 12-79,11-98
58 92 57 93 58-92,57-93
1 64 2 63 1-64,2-63
96 97 7 97 96-97,7-97
55 66 54 68 55-66,54-68
1 86 1 85 1-86,1-85
28 91 28 94 28-91,28-94
6 89 5 89 6-89,5-89
9 35 9 9 9-35,9-9
2 22 1 34 2-22,1-34
29 87 11 87 29-87,11-87
18 46 17 55 18-46,17-55
30 67 31 66 30-67,31-66
22 60 22 22 22-60,22-22
42 94 42 42 42-94,42-42
15 29 14 33 15-29,14-33
21 65 20 94 21-65,20-94
27 94 28 89 27-94,28-89
65 80 64 81 65-80,64-81
22 48 21 48 22-48,21-48
54 80 55 79 54-80,55-79
90 99 89 99 90-99,89-99
25 55 26 27 25-55,26-27
29 94 29 95 29-94,29-95
27 96 96 96 27-96,96-96
15 72 15 15 15-72,15-15
14 90 15 34 14-90,15-34
41 65 12 66 41-65,12-66
48 61 54 60 48-61,54-60
28 90 29 35 28-90,29-35
9 95 9 92 9-95,9-92
57 76 57 69 57-76,57-69
2 66 2 65 2-66,2-65
7 92 11 92 7-92,11-92
26 89 88 88 26-89,88-88
37 37 37 86 37-37,37-86
29 32 29 57 29-32,29-57
